repository,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,dit_mean,dit_median,dit_std,dit_min,dit_max,loc_mean,loc_median,loc_std,loc_min,loc_max,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,mean_comment_lines_per_class,ratio_comment_lines_loc,mean_comment_lines_per_repo
00-Evan_shattered-pixel-dungeon,2679,6.338,4.0,9.289,0,189,2.849,2.0,2.934,1,92,59.212,26.0,109.213,1,1828,13.926,1.0,99.181,0,3238,1.391,0.031,1.846
1024-lab_smart-admin,572,6.414,4.0,5.989,0,35,1.227,1.0,0.436,1,4,22.5,10.0,33.603,2,300,3.79,0.0,19.187,0,325,6.445,0.431,9.691
201206030_novel,202,4.416,2.0,5.519,0,46,1.069,1.0,0.338,1,4,22.495,10.0,31.212,2,306,20.485,0.0,67.182,0,700,6.961,0.516,11.614
201206030_novel-plus,409,6.479,3.0,7.299,0,50,1.21,1.0,0.464,1,4,37.421,24.0,41.517,2,426,46.628,1.0,124.411,0,1274,7.67,0.272,10.164
2227324689_gpmall,424,4.979,3.0,5.964,0,37,1.361,1.0,0.645,1,5,20.908,9.0,30.927,1,280,8.17,0.0,43.341,0,665,5.042,0.335,7.005
527515025_springBoot,264,5.087,4.0,4.429,0,32,1.148,1.0,0.415,1,4,23.674,14.5,39.09,2,537,15.496,0.0,70.73,0,858,3.858,0.204,4.822
648540858_wvp-GB28181-pro,749,8.231,5.0,9.959,0,100,1.295,1.0,0.535,1,4,62.936,25.0,119.293,1,1427,35.13,0.0,162.062,0,1953,6.574,0.159,9.997
981011512_--,5069,3.542,2.0,7.169,0,371,2.911,2.0,52.985,1,3734,66.695,10.0,488.455,1,23031,440.426,0.0,5564.686,0,214143,6.37,0.16,10.695
aa112901_remusic,845,5.187,3.0,6.427,0,62,1.453,1.0,0.808,1,7,56.551,17.0,146.281,1,2715,41.646,0.0,345.672,0,6785,4.301,0.098,5.523
abel533_Mapper,458,5.057,4.0,4.636,0,34,1.242,1.0,0.529,1,4,41.712,16.0,74.483,1,862,36.177,0.0,175.547,0,2016,8.316,0.277,11.566
Activiti_Activiti,3407,5.802,4.0,8.608,0,296,1.531,1.0,0.902,1,8,45.664,19.0,107.239,1,2489,89.411,1.0,1571.657,0,87579,4.239,0.122,5.572
aeron-io_aeron,1313,7.834,4.0,9.998,0,93,1.299,1.0,0.914,1,9,93.504,34.0,194.001,1,2236,113.724,0.0,1254.777,0,37165,17.723,0.274,25.606
ageerle_ruoyi-ai,862,6.352,4.0,6.784,0,54,1.284,1.0,0.672,1,6,31.196,13.0,52.546,1,428,12.887,0.0,54.058,0,808,10.714,0.591,18.445
airbnb_epoxy,610,7.197,5.0,6.334,0,37,1.813,2.0,1.073,1,18,70.961,11.0,103.264,1,674,138.774,1.0,320.18,0,2579,10.791,0.186,13.215
airbnb_lottie-android,293,6.898,5.0,8.313,0,67,1.287,1.0,0.646,1,6,61.058,24.0,119.82,1,1056,33.413,0.0,283.155,0,4618,7.507,0.176,10.761
alamkanak_Android-Week-View,27,3.63,2.0,7.201,0,36,1.259,1.0,0.594,1,3,74.185,13.0,239.819,1,1257,238.333,0.0,1189.258,0,6187,12.881,0.27,20.037
alibaba_Alink,8181,6.438,5.0,6.236,0,61,1.627,1.0,1.0,1,18,58.134,13.0,228.816,1,11486,34.703,0.0,236.706,0,8073,5.777,0.122,7.098
