name,owner,url,stars,created_at,pushed_at,updated_at,language,releases_count,commits_count,age_years,size_bytes,forks_count,issues_count,closed_issues_count,merged_pr_count
JavaGuide,Snailclimb,https://github.com/Snailclimb/JavaGuide,151823,2018-05-07T13:27:00Z,2025-09-18T12:54:58Z,2025-09-21T14:44:06Z,Java,0,5888,7.38,6730,45987,1111,1037,1185
hello-algo,krahets,https://github.com/krahets/hello-algo,117052,2022-11-04T11:08:34Z,2025-09-20T12:08:26Z,2025-09-21T20:26:09Z,Java,9,2125,2.88,3048952,14425,272,261,953
GitHub-Chinese-Top-Charts,GrowingGit,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,102429,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,2025-09-21T20:43:20Z,Java,0,1018,6.05,125,13297,340,162,0
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,92714,2014-08-09T16:45:18Z,2025-09-15T22:03:25Z,2025-09-21T19:56:20Z,Java,0,4336,11.12,4647514,27177,959,830,1507
mall,macrozheng,https://github.com/macrozheng/mall,81626,2018-04-04T01:11:44Z,2025-09-01T08:43:01Z,2025-09-21T16:34:54Z,Java,3,1063,7.47,2755967,29453,497,487,1
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,78450,2012-10-19T15:02:57Z,2025-09-19T22:14:08Z,2025-09-21T18:53:55Z,Java,323,57269,12.92,27607498,41508,39584,39024,42
advanced-java,doocs,https://github.com/doocs/advanced-java,78267,2018-10-06T11:38:30Z,2025-09-11T06:11:19Z,2025-09-21T14:44:24Z,Java,1,776,6.96,180,19260,147,146,88
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,76462,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,2025-09-21T14:13:42Z,Java,0,246,6.79,568220,14018,62,42,63
elasticsearch,elastic,https://github.com/elastic/elasticsearch,73845,2010-02-08T13:20:56Z,2025-09-21T14:04:19Z,2025-09-21T14:04:25Z,Java,210,89695,15.62,197936894,25458,41039,36611,81773
Stirling-PDF,Stirling-Tools,https://github.com/Stirling-Tools/Stirling-PDF,67635,2023-01-27T18:22:42Z,2025-09-21T21:03:16Z,2025-09-21T20:41:28Z,Java,138,3971,2.65,4078529,5723,1421,1084,2365
interviews,kdn251,https://github.com/kdn251/interviews,64475,2017-02-14T18:19:25Z,2025-05-12T12:56:04Z,2025-09-21T18:44:36Z,Java,0,448,8.6,674404,12946,56,24,42
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,63467,2016-07-16T10:21:02Z,2025-09-19T21:36:06Z,2025-09-21T20:34:25Z,Java,0,2892,9.18,3470330,20275,1112,1110,2037
ghidra,NationalSecurityAgency,https://github.com/NationalSecurityAgency/ghidra,60677,2019-03-01T03:27:48Z,2025-09-18T17:12:39Z,2025-09-21T21:00:52Z,Java,46,15616,6.56,113192226,6752,5566,4110,528
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,58870,2010-12-08T04:04:45Z,2025-09-19T16:14:24Z,2025-09-21T18:53:58Z,Java,343,33625,14.79,49891693,38715,27216,26922,873
