name,url,stars,created_at,pushed_at,updated_at,language
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,151806,2018-05-07T13:27:00Z,2025-09-18T12:54:58Z,2025-09-19T16:34:36Z,Java
krahets/hello-algo,https://github.com/krahets/hello-algo,116942,2022-11-04T11:08:34Z,2025-09-10T20:28:12Z,2025-09-19T17:47:04Z,Java
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,102379,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,2025-09-19T16:57:05Z,Java
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,92710,2014-08-09T16:45:18Z,2025-09-15T22:03:25Z,2025-09-19T08:18:47Z,Java
macrozheng/mall,https://github.com/macrozheng/mall,81613,2018-04-04T01:11:44Z,2025-09-01T08:43:01Z,2025-09-19T15:33:34Z,Java
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,78429,2012-10-19T15:02:57Z,2025-09-19T15:57:21Z,2025-09-19T18:34:19Z,Java
doocs/advanced-java,https://github.com/doocs/advanced-java,78264,2018-10-06T11:38:30Z,2025-09-11T06:11:19Z,2025-09-19T13:04:50Z,Java
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76455,2018-12-06T08:01:22Z,2023-08-14T12:14:01Z,2025-09-19T17:04:20Z,Java
elastic/elasticsearch,https://github.com/elastic/elasticsearch,73827,2010-02-08T13:20:56Z,2025-09-19T17:36:18Z,2025-09-19T16:53:29Z,Java
Stirling-Tools/Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,67553,2023-01-27T18:22:42Z,2025-09-19T15:58:28Z,2025-09-19T17:27:19Z,Java
kdn251/interviews,https://github.com/kdn251/interviews,64469,2017-02-14T18:19:25Z,2025-05-12T12:56:04Z,2025-09-19T15:13:36Z,Java
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,63414,2016-07-16T10:21:02Z,2025-09-18T18:02:26Z,2025-09-19T17:06:01Z,Java
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,60623,2019-03-01T03:27:48Z,2025-09-18T17:12:39Z,2025-09-19T18:12:11Z,Java
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,58858,2010-12-08T04:04:45Z,2025-09-19T16:14:24Z,2025-09-19T17:51:38Z,Java
google/guava,https://github.com/google/guava,51124,2014-05-29T16:23:17Z,2025-09-17T20:22:11Z,2025-09-19T10:28:26Z,Java
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48337,2013-01-08T20:11:48Z,2025-09-19T10:50:50Z,2025-09-19T18:16:22Z,Java
skylot/jadx,https://github.com/skylot/jadx,45534,2013-03-18T17:08:21Z,2025-09-17T18:19:15Z,2025-09-19T16:19:52Z,Java
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,45456,2015-10-21T08:26:28Z,2025-09-19T15:16:32Z,2025-09-19T18:35:24Z,Java
termux/termux-app,https://github.com/termux/termux-app,45178,2015-10-23T09:42:46Z,2025-08-22T19:52:32Z,2025-09-19T17:25:31Z,Java
jeecgboot/JeecgBoot,https://github.com/jeecgboot/JeecgBoot,43909,2018-11-26T10:40:00Z,2025-09-18T09:33:06Z,2025-09-19T15:28:41Z,Java
apache/dubbo,https://github.com/apache/dubbo,41373,2012-06-19T07:56:02Z,2025-09-18T07:45:22Z,2025-09-19T17:23:51Z,Java
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,38106,2014-04-25T14:29:47Z,2025-06-05T07:06:39Z,2025-09-19T06:10:30Z,Java
eugenp/tutorials,https://github.com/eugenp/tutorials,37261,2013-04-29T18:26:36Z,2025-09-19T16:52:33Z,2025-09-19T16:52:54Z,Java
halo-dev/halo,https://github.com/halo-dev/halo,36943,2018-03-21T12:56:52Z,2025-09-19T03:20:57Z,2025-09-19T17:10:08Z,Java
alibaba/arthas,https://github.com/alibaba/arthas,36731,2018-08-29T17:15:57Z,2025-09-12T05:05:21Z,2025-09-19T11:47:41Z,Java
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,35781,2020-05-29T05:47:09Z,2023-06-13T04:13:17Z,2025-09-19T11:48:00Z,Java
airbnb/lottie-android,https://github.com/airbnb/lottie-android,35477,2016-10-06T22:42:42Z,2025-09-19T15:33:47Z,2025-09-19T15:34:00Z,Java
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,35108,2015-09-03T23:39:26Z,2025-09-17T06:26:56Z,2025-09-19T18:03:28Z,Java
doocs/leetcode,https://github.com/doocs/leetcode,34961,2018-09-16T14:03:03Z,2025-09-19T00:00:33Z,2025-09-19T17:34:34Z,Java
bumptech/glide,https://github.com/bumptech/glide,34949,2013-07-08T22:52:33Z,2025-09-19T00:26:44Z,2025-09-19T18:17:06Z,Java
netty/netty,https://github.com/netty/netty,34441,2010-11-09T09:22:21Z,2025-09-19T18:06:05Z,2025-09-19T18:06:29Z,Java
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,33911,2017-11-10T06:27:29Z,2024-07-24T02:02:52Z,2025-09-19T18:03:37Z,Java
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33644,2016-07-30T18:18:32Z,2024-08-15T10:38:10Z,2025-09-19T12:41:59Z,Java
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33632,2018-02-06T03:14:08Z,2024-10-29T06:07:07Z,2025-09-19T08:48:41Z,Java
zxing/zxing,https://github.com/zxing/zxing,33595,2011-10-12T14:07:27Z,2025-09-15T06:23:03Z,2025-09-19T11:06:48Z,Java
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,33297,2021-01-24T03:18:25Z,2025-08-31T11:51:42Z,2025-09-19T15:54:45Z,Java
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,33245,2013-01-14T21:40:56Z,2025-09-19T09:44:53Z,2025-09-19T13:44:52Z,Java
alibaba/nacos,https://github.com/alibaba/nacos,32063,2018-06-15T06:49:27Z,2025-09-19T02:19:12Z,2025-09-19T15:26:51Z,Java
binarywang/WxJava,https://github.com/binarywang/WxJava,31930,2016-01-06T08:24:05Z,2025-09-15T01:45:15Z,2025-09-19T08:02:53Z,Java
apache/kafka,https://github.com/apache/kafka,30933,2011-08-15T18:06:16Z,2025-09-19T16:42:43Z,2025-09-19T18:17:24Z,Java
